Date,Predicted_Sales
2017-07-01,2337.08
2017-07-02,744.14
2017-07-03,1960.88
2017-07-04,1952.98
2017-07-05,2675.48
2017-07-06,2305.73
2017-07-07,2550.72
2017-07-08,2101.6
2017-07-09,1009.98
2017-07-10,2047.74
2017-07-11,2052.03
2017-07-12,2527.3
2017-07-13,1873.22
2017-07-14,1959.59
2017-07-15,2033.98
2017-07-16,984.93
2017-07-17,2096.17
2017-07-18,2163.93
2017-07-19,2283.26
2017-07-20,1861.96
2017-07-21,2022.37
2017-07-22,2145.28
2017-07-23,901.06
2017-07-24,2081.88
2017-07-25,2135.97
2017-07-26,2214.63
2017-07-27,1772.02
2017-07-28,2028.05
2017-07-29,2089.56
2017-07-30,927.56
2017-07-31,2130.38
2017-08-01,2220.92
2017-08-02,2613.78
2017-08-03,2217.13
2017-08-04,2516.43
2017-08-05,2314.46
2017-08-06,1002.63
2017-08-07,2087.81
2017-08-08,1960.7
2017-08-09,2396.71
2017-08-10,1909.93
2017-08-11,1876.42
2017-08-12,2016.32
2017-08-13,963.13
2017-08-14,2055.43
2017-08-15,2070.12
2017-08-16,2322.03
2017-08-17,1866.38
2017-08-18,1977.18
2017-08-19,2049.35
2017-08-20,902.31
2017-08-21,2024.26
2017-08-22,2056.75
2017-08-23,2197.31
2017-08-24,1808.21
2017-08-25,2010.27
2017-08-26,2043.55
2017-08-27,936.07
2017-08-28,2056.81
2017-08-29,2060.1
2017-08-30,2305.84
2017-08-31,1778.29
2017-09-01,2432.26
2017-09-02,2306.32
2017-09-03,851.87
2017-09-04,1893.98
2017-09-05,1885.14
2017-09-06,2438.8
2017-09-07,2313.44
2017-09-08,2084.57
2017-09-09,2028.0
2017-09-10,947.65
2017-09-11,2017.27
2017-09-12,2009.57
2017-09-13,2432.03
2017-09-14,1897.6
2017-09-15,1977.99
2017-09-16,2036.98
2017-09-17,981.83
2017-09-18,2046.69
2017-09-19,2073.51
2017-09-20,2231.68
2017-09-21,1876.51
2017-09-22,2057.9
2017-09-23,2141.77
2017-09-24,899.29
2017-09-25,2056.48
2017-09-26,2074.02
2017-09-27,2270.06
2017-09-28,1781.38
